date,Product_A_Revenue,Product_B_Revenue,Product_C_Revenue,Foot_Traffic,Online_Ads,TV_Ads,Direct_Mail_Offer,Email_Offer
01-Jan-02,16579,11358,10776,34,7978,2229448,20000,7300
01-Feb-02,18236,10606,10822,29,8290,2742647,20000,8800
01-Mar-02,43394,16999,22846,24,8029,2797866,26000,6500
01-Apr-02,30908,6564,11103,20,7752,2894965,22000,8500
01-May-02,28702,6608,16067,17,8685,2264227,21000,7400
01-Jun-02,29648,9839,11061,30,7847,2721061,23000,8700
01-Jul-02,31142,9398,11329,28,7881,2663296,22000,7900
01-Aug-02,31177,10396,16789,27,8121,3037497,20000,7200
01-Sep-02,30672,11663,14453,35,7811,2679479,15000,8300
01-Oct-02,37633,12805,16056,25,8706,3280814,20000,11100
01-Nov-02,33891,13636,24557,30,8811,2858974,16000,7400
01-Dec-02,51378,22849,34646,45,10309,3873865,29000,10500
01-Jan-03,18103,12326,11528,35,8081,2272368,22000,6600
01-Feb-03,20980,8274,12885,20,8378,2491246,28000,5900
01-Mar-03,34503,10061,14748,25,8586,2991750,28000,6000
01-Apr-03,26784,11498,9595,35,8438,2091152,22000,8200
01-May-03,31790,10363,15926,28,8589,2690289,24000,9100
01-Jun-03,32433,10195,11383,25,8565,2607917,25000,8000
01-Jul-03,37180,8401,16053,24,8526,3595727,28000,6400
01-Aug-03,29659,13643,14803,32,8978,2541596,19000,7400
01-Sep-03,33238,12773,14125,28,8761,2677760,18000,8700
01-Oct-03,35679,14539,15385,33,8512,3074564,20000,10500
01-Nov-03,37239,14927,20425,34,8697,2592975,26000,8800
01-Dec-03,46767,19170,27035,29,11120,2572156,30000,8700
01-Jan-04,21753,11771,12736,30,9115,2649636,27000,6500
01-Feb-04,20790,10278,11535,26,8216,2451526,27000,7000
01-Mar-04,37427,11858,12909,28,9358,2859831,31000,7200
01-Apr-04,37578,9517,12236,21,8835,2864372,33000,7800
01-May-04,34424,10074,19525,24,8565,3439247,23000,9100
01-Jun-04,47209,19505,21889,24,9589,2714535,28000,7800
01-Jul-04,34389,12519,14527,33,9109,2914426,24000,5800
01-Aug-04,34637,8567,14252,23,8613,2919044,28000,9200
01-Sep-04,35092,9671,13180,22,9679,2520185,24000,9000
01-Oct-04,34735,11557,15686,24,9152,2723464,22000,9100
01-Nov-04,33202,15508,22398,32,9132,2818479,18000,8200
01-Dec-04,51761,25896,34065,40,11574,3383145,32000,8200
01-Jan-05,20078,11219,9688,32,9383,2273291,27000,8600
